,感染者数,回復者数,死亡者数
01/15,1,0,0
01/16,1,0,0
01/17,1,0,0
01/18,1,0,0
01/19,1,0,0
01/20,1,0,0
01/21,1,0,0
01/22,1,0,0
01/23,1,0,0
01/24,2,0,0
01/25,3,0,0
01/26,4,0,0
01/27,4,0,0
01/28,7,0,0
01/29,8,0,0
01/30,12,0,0
01/31,14,0,0
02/01,17,0,0
02/02,17,0,0
02/03,17,0,0
02/04,19,0,0
02/05,22,0,0
02/06,25,0,0
02/07,25,0,0
02/08,26,1,0
02/09,26,1,0
02/10,28,1,0
02/11,28,2,0
02/12,29,2,0
02/13,33,2,1
02/14,40,6,1
02/15,52,6,1
02/16,58,7,1
02/17,66,9,1
02/18,74,10,1
02/19,84,11,1
02/20,94,12,1
02/21,109,12,2
02/22,136,13,2
02/23,147,14,2
02/24,160,17,2
02/25,171,18,3
02/26,189,19,4
02/27,215,20,5
02/28,233,22,6
02/29,242,24,7
03/01,256,29,7
03/02,274,33,7
03/03,293,43,7
03/04,329,44,7
03/05,361,48,7
03/06,416,57,7
03/07,460,69,7
03/08,493,81,8
03/09,521,84,10
03/10,581,93,12
03/11,633,111,14
03/12,689,119,19
03/13,724,131,21
03/14,785,142,22
03/15,816,148,24
03/16,833,160,28
03/17,877,172,29
03/18,919,224,31
03/19,958,246,33
03/20,"1,012",264,35
03/21,"1,052",288,36
03/22,"1,099",308,41
03/23,"1,138",327,42
03/24,"1,210",338,43
03/25,"1,306",377,45
03/26,"1,399",409,47
03/27,"1,522",423,52
03/28,"1,723",471,55
03/29,"1,896",473,56
03/30,"1,989",531,59
03/31,"2,230",547,66
04/01,"2,497",591,69
04/02,"2,775",620,73
04/03,"3,132",654,77
04/04,"3,501",666,84
04/05,"3,859",677,93
04/06,"4,102",707,97
04/07,"4,470",733,98
04/08,"4,996",760,105
04/09,"5,576",802,109
04/10,"6,220",889,121
04/11,"6,940",930,132
04/12,"7,447",973,138
04/13,"7,750","1,032",143
04/14,"8,229","1,091",162
04/15,"8,776","1,166",179
04/16,"9,355","1,266",191
04/17,"9,911","1,394",207
04/18,"10,497","1,488",224
04/19,"10,873","1,793",238
04/20,"11,218","1,944",263
04/21,"11,609","2,339",283
04/22,"12,049","2,577",299
04/23,"12,485","3,059",328
04/24,"12,926","3,267",345
04/25,"13,308","3,447",360
04/26,"13,527","3,593",372
04/27,"13,701","3,900",394
04/28,"13,983","4,304",413
04/29,"14,205","4,589",435
04/30,"14,406","5,315",457
05/01,"14,671","5,685",486
05/02,"14,971","5,966",517
05/03,"15,172","6,223",536
05/04,"15,347","6,484",556
05/05,"15,466","6,717",566
05/06,"15,569","7,019",577
05/07,"15,665","7,605",590
05/08,"15,754","8,247",606
05/09,"15,867","8,460",624
05/10,"15,936","8,660",633
05/11,"15,979","8,989",657
05/12,"16,059","9,966",678
05/13,"16,112","10,413",696
05/14,"16,211","10,794",713
05/15,"16,259","11,231",729
05/16,"16,315","11,467",748
05/17,"16,338","11,586",756
05/18,"16,369","11,821",768
05/19,"16,396","12,321",773
05/20,"16,434","12,594",784
05/21,"16,472","13,017",799
05/22,"16,495","13,295",814
05/23,"16,520","13,431",825
05/24,"16,561","13,481",840
05/25,"16,582","13,784",852
05/26,"16,611","13,978",863
05/27,"16,646","14,122",870
05/28,"16,705","14,262",884
05/29,"16,779","14,413",890
05/30,"16,822","14,459",895
05/31,"16,855","14,493",898
06/01,"16,892","14,633",900
06/02,"16,943","14,756",903
06/03,"16,973","14,874",907
06/04,"17,019","14,979",913
06/05,"17,063","15,093",917
06/06,"17,109","15,141",919
06/07,"17,147","15,158",919
06/08,"17,168","15,216",922
06/09,"17,213","15,328",923
06/10,"17,251","15,401",925
06/11,"17,293","15,504",925
06/12,"17,354","15,594",929
06/13,"17,399","15,679",931
06/14,"17,474","15,699",931
06/15,"17,545","15,744",933
06/16,"17,589","15,832",938
06/17,"17,635","15,935",939
06/18,"17,705","16,007",941
06/19,"17,761","16,102",958
06/20,"17,825","16,125",958
06/21,"17,880","16,149",959
06/22,"17,923","16,205",960
06/23,"17,980","16,285",964
06/24,"18,076","16,340",968
06/25,"18,157","16,397",970
06/26,"18,262","16,477",970
06/27,"18,354","16,522",971
06/28,"18,467","16,565",971
06/29,"18,577","16,635",971
06/30,"18,715","16,744",973
07/01,"18,841","16,789",975
07/02,"19,036","16,873",976
07/03,"19,287","16,975",976
07/04,"19,560","17,033",976
07/05,"19,768","17,075",976
07/06,"19,944","17,201",977
07/07,"20,152","17,345",979
07/08,"20,359","17,493",981
